Timestamp,FromBank,FromAccount,ToAccount,Amount,PaymentType,Suspicious
2025-02-04 0:02,Bank7,Client30,Client26,2361.27,Wire Transfer,No
2025-02-04 0:03,Bank4,Client39,Client27,1904.89,Credit Card,No
2025-02-04 0:05,Bank6,Client37,Client39,2088.84,Crypto,No
2025-02-04 0:05,Bank3,Client21,Client29,2451.77,Credit Card,No
2025-02-04 0:07,Bank1,Client36,Client14,2461.28,Check,No
2025-02-04 0:08,Bank1,Client5,Client35,1795.34,ACH,No
2025-02-04 0:08,Bank6,Client10,Client26,2176.39,Credit Card,No
2025-02-04 0:09,Bank4,Client13,Client5,2096.9,Crypto,No
2025-02-04 0:10,Bank5,Client30,Client32,2174.03,Crypto,No
2025-02-04 0:10,Bank8,Client10,Client37,2075.77,Check,No
2025-02-04 0:12,Bank4,Client30,Client22,1970.22,Credit Card,No
2025-02-04 0:12,Bank3,Client32,Client33,2043.11,Credit Card,No
2025-02-04 0:13,Bank7,Client32,Client4,1621.62,Credit Card,No
2025-02-04 0:16,Bank8,Client33,Client38,1456.22,Check,No
2025-02-04 0:19,Bank4,Client21,Client4,2147.1,Crypto,No
2025-02-04 0:20,Bank10,Client36,Client19,1208.59,Wire Transfer,No
2025-02-04 0:21,Bank10,Client4,Client22,2174.24,Crypto,No
2025-02-04 0:21,Bank10,Client4,Client37,2178.89,Check,No
2025-02-04 0:22,Bank2,Client10,Client32,1758.8,Crypto,No
2025-02-04 0:23,Bank9,Client28,Client15,2148.14,Wire Transfer,No
2025-02-04 0:25,Bank1,Client4,Client3,1966.75,Wire Transfer,No
2025-02-04 0:25,Bank3,Client13,Client38,2027.11,Crypto,No
2025-02-04 0:27,Bank2,Client21,Client23,1256.32,Crypto,No
2025-02-04 0:27,Bank8,Client39,Client7,2261.85,Check,No
2025-02-04 0:29,Bank3,Client10,Client20,1295.81,Check,No
2025-02-04 0:31,Bank8,Client13,Client28,1851.63,Check,No
2025-02-04 0:31,Bank3,Client6,Client36,1453.33,ACH,No
2025-02-04 0:31,Bank8,Client21,Client2,2232.56,Crypto,No
2025-02-04 0:36,Bank5,Client4,Client17,1835.1,Crypto,No
2025-02-04 0:36,Bank1,Client4,Client21,2320.03,Wire Transfer,No
2025-02-04 0:38,Bank7,Client11,Client14,2127.92,Credit Card,No
2025-02-04 0:39,Bank1,Client4,Client12,1622.9,Wire Transfer,No
2025-02-04 0:40,Bank4,Client16,Client14,2448.81,ACH,No
2025-02-04 0:44,Bank5,Client29,Client31,1725.13,Crypto,No
2025-02-04 0:44,Bank8,Client10,Client31,1589.44,Wire Transfer,No
2025-02-04 0:46,Bank6,Client14,Client32,1916.03,Credit Card,No
2025-02-04 0:47,Bank2,Client6,Client4,2326.3,ACH,No
2025-02-04 0:47,Bank1,Client15,Client34,2049.76,Credit Card,No
2025-02-04 0:48,Bank10,Client10,Client28,2066.59,Check,No
2025-02-04 0:49,Bank7,Client4,Client16,2008.72,Check,No
2025-02-04 0:53,Bank1,Client13,Client37,2000.9,Check,No
2025-02-04 0:55,Bank6,Client13,Client6,2103.88,Credit Card,No
2025-02-04 0:55,Bank2,Client21,Client10,1947.79,Crypto,No
2025-02-04 0:58,Bank9,Client5,Client22,2174.96,Credit Card,No
2025-02-04 0:58,Bank5,Client11,Client36,2198.51,Wire Transfer,No
2025-02-04 0:59,Bank2,Client23,Client21,1797.47,Credit Card,No
2025-02-04 1:00,Bank6,Client4,Client34,2033.1,ACH,No
2025-02-04 1:01,Bank4,Client10,Client7,2033.87,Wire Transfer,No
2025-02-04 1:01,Bank6,Client31,Client8,2067.08,Check,No
2025-02-04 1:01,Bank10,Client13,Client30,1485.37,Credit Card,No
2025-02-04 1:02,Bank1,Client16,Client28,1869.89,Crypto,No
2025-02-04 1:05,Bank4,Client31,Client14,2004.92,Credit Card,No
2025-02-04 1:05,Bank5,Client19,Client38,1917.29,Check,No
2025-02-04 1:05,Bank9,Client20,Client17,2280.48,Wire Transfer,No
2025-02-04 1:08,Bank9,Client13,Client25,2407.19,Crypto,No
2025-02-04 1:08,Bank7,Client21,Client34,1853.83,Wire Transfer,No
2025-02-04 1:09,Bank5,Client4,Client39,2005.59,Crypto,No
2025-02-04 1:13,Bank5,Client10,Client11,2416.56,Check,No
2025-02-04 1:13,Bank5,Client9,Client26,1861.91,Check,Yes
2025-02-04 1:13,Bank10,Client22,Client40,2814.59,Crypto,No
2025-02-04 1:14,Bank1,Client27,Client12,2070.81,Check,No
2025-02-04 1:15,Bank8,Client37,Client29,2181.98,Check,No
2025-02-04 1:15,Bank10,Client13,Client22,2023.27,Crypto,No
2025-02-04 1:18,Bank4,Client21,Client24,2543.83,Crypto,No
2025-02-04 1:22,Bank5,Client34,Client5,2062.55,Crypto,No
2025-02-04 1:23,Bank4,Client5,Client31,2127.17,Wire Transfer,No
2025-02-04 1:33,Bank6,Client10,Client22,2312.41,ACH,No
